Sentence ID	Audio ID
3069	729967
3072	733126
3073	733127
3075	587256
3080	733128
3082	729968
3083	453027
3086	733129
3089	729969
9264	641678
9468	733130
15040	612320
120042	733131
126587	921141
127380	921142
127399	820145
135771	729970
135772	733132
135779	526873
135780	526874
135781	526875
135806	706492
135896	534239
135987	706493
136209	921143
138640	526876
139495	921144
2638	733064
2891	691330
9264	641678
15040	612320
120042	733131
180324	639096
180469	537818
180515	585672
180517	820146
180518	820147
180520	820148
180521	820149
180524	788281
180546	521998
180547	820150
180548	820151
180550	820152
180552	521999
180553	515820
180554	585673
180564	788282
180565	820153
180566	515821
180568	522000
180701	442545
180703	820154
180709	788283
180713	458566
180720	820155
180721	921147
181007	522001
181264	453028
329726	706494
329728	921148
329729	453029
329730	438220
329732	931349
329733	449786
329734	526877
329735	788284
329737	582309
329738	820156
329739	444072
329740	706495
329741	706496
329763	706497
329764	921149
329765	706498
329766	612321
329768	459166
329769	534240
329770	526878
329771	526879
329772	449787
329774	526880
329775	526881
329778	706499
329779	706500
329782	453030
329784	706501
329785	706502
329787	706503
329790	526882
329816	733133
329817	928917
329819	733134
329825	534241
329826	526883
329830	526884
329831	706504
329833	526885
329834	526886
329835	526887
329838	706505
329842	706506
329848	526888
329849	706507
329852	461730
329853	706508
329854	526889
329855	706509
329856	534242
329857	706510
329858	526890
329859	706511
329860	526891
329861	438221
329862	453031
329863	526892
329864	526893
329865	526894
329866	706512
329867	449788
329868	931350
329870	442546
329871	526895
329872	449789
329876	706513
329877	706514
329878	526896
329879	526897
329881	706515
329884	449790
329886	534243
329887	706516
329889	441472
329890	706517
329893	526898
329895	706518
329896	706519
329898	526899
329899	706520
329900	612322
329910	438222
329911	526900
329912	706521
329915	706522
329916	526901
329918	526902
329919	437705
329920	526903
329921	706523
329922	706524
329923	706525
329924	526904
329926	526905
329927	442873
329928	706526
329929	706527
329933	444073
329936	612323
329937	526906
329940	706528
329942	526907
329944	526908
329946	461031
329948	459695
329949	706529
329951	526909
329952	526910
329953	526911
329955	612324
329956	526912
329960	449791
329962	931351
329963	526913
329965	612325
329966	706530
329967	706531
329969	461032
329970	440912
329972	706532
329973	706533
329974	706534
329977	526914
329980	526915
329981	931352
329982	526916
329983	526917
329985	526918
329986	526919
329988	706535
329990	706536
329991	706537
329992	706538
329994	733135
330004	587257
330005	733136
330008	733137
330019	706539
330020	526920
330021	526921
330024	526922
330025	706540
330027	706541
330028	441315
330031	534244
330033	526923
330034	706542
330035	706543
330036	534245
330037	534246
330039	706544
330042	706545
330043	706546
330044	526924
330047	526925
330048	706547
330049	706548
330051	444074
330053	706549
330054	526926
330055	459696
330056	534247
330058	706550
330059	526927
330060	706551
330063	706552
330064	706553
330068	706554
330070	706555
330071	706556
330073	706557
330074	706558
330075	706559
330080	526928
330081	706560
330082	440034
330083	534248
330084	458567
330086	706561
330090	441316
330091	438040
330092	534249
330094	706562
330096	526929
330097	526930
330098	706563
330099	706564
330101	706565
330102	534250
330103	526931
330104	706566
330105	444075
330106	449792
330107	706567
330108	534251
330112	706568
330113	442874
330114	706569
330115	526932
330116	706570
330117	526933
330118	526934
330119	526935
330120	526936
330121	526937
330122	931353
330123	706571
330124	440035
330127	534252
330129	526938
330130	526939
330131	706572
330132	706573
330134	526940
330135	526941
330136	526942
330137	526943
330138	526944
330139	706574
330140	526945
330141	526946
330142	706575
330144	706576
330147	706577
330148	526947
330149	526948
330151	526949
330153	706578
330154	706579
330155	526950
330158	526951
330160	526952
330161	526953
330162	526954
330163	612326
330164	706580
330166	534253
330168	526955
330624	459697
330625	706581
330626	733138
330627	706582
330628	706583
330629	526956
330630	706584
330636	706585
330637	526957
330638	526958
330640	534254
330641	612327
330642	733139
330643	526959
330644	706586
330645	931354
330646	534255
330649	526960
330651	587258
330652	706587
330653	706588
330654	440211
330655	706589
330656	706590
330657	706591
330658	706592
330660	526961
330661	526962
330662	526963
330663	526964
330664	534256
330665	444076
330666	706593
330668	526965
330670	733140
330671	462123
330674	534257
330676	706594
330680	706595
330681	733141
330682	733142
330683	733143
330684	706596
330685	706597
330686	461731
330687	526966
330688	733144
330978	585674
330979	585675
330980	585676
330981	453032
330982	585677
331210	449793
331211	449794
331212	585678
331275	585679
331278	453033
331339	453034
331345	585680
331347	438223
331442	460059
331443	449795
331445	585681
331580	449796
331584	460736
331590	461033
331597	585682
331681	444077
331682	585683
331683	585684
331717	449797
331924	453035
332098	585685
333162	585686
333165	585687
334221	585688
336279	932824
336379	932825
336380	932826
336381	932827
336382	932828
336384	932829
336385	932830
336386	932831
336390	932832
336391	932833
336395	932834
336396	932835
336400	932836
336401	932837
336405	932838
336406	932839
336408	932840
336409	932841
336516	932842
336517	932843
336518	932844
336519	932845
336520	932846
336522	932847
336524	932848
336525	932849
336526	932850
336527	932851
336528	932852
336530	932853
336531	932854
336533	932855
336537	932856
336538	932857
336540	932858
336545	932859
336546	932860
336547	932861
336549	932862
336550	932863
336552	932864
336554	932865
336555	932866
336556	932867
336559	932868
336563	932869
336564	932870
336565	932871
336567	932872
336568	932873
336569	932874
336570	932875
336571	932876
336572	932877
336757	932878
336760	932879
336762	932880
336763	932881
336765	932882
336767	932883
336769	932884
336771	932885
336772	932886
336774	932887
336775	932888
336776	932889
336777	932890
336778	932891
336779	932892
336780	932893
336781	932894
336782	932895
336783	932896
336784	932897
336786	932898
336790	932899
336792	932900
336793	932901
336798	932902
336799	932903
336801	932904
336802	932905
336806	932906
336807	932907
336808	932908
336810	932909
336813	932910
336814	932911
336817	932912
336818	932913
336819	932914
336820	932915
336823	932916
336825	932917
336826	932918
336828	932919
336829	932920
336840	932921
336842	932922
336843	932923
336844	932924
336845	932925
336846	932926
337094	932927
337095	932928
337097	932929
337098	932930
337100	932931
337102	932932
337105	932933
337112	932934
337113	932935
337115	932936
337116	932937
337117	932938
337133	932939
337135	932940
337136	932941
337138	932942
337139	932943
337143	932944
337144	932945
337145	932946
337146	932947
337152	932948
337154	932949
337155	932950
337156	932951
337157	932952
338204	706598
338205	706599
338206	706600
338208	526967
338211	526968
338212	706601
338237	526969
338239	706602
338240	534258
338242	931355
338244	706603
338508	706604
338511	706605
338520	706606
338525	526970
338530	453036
338531	706607
338532	706608
338533	462124
338535	444078
338537	706609
338540	706610
338542	526971
338547	706611
338550	526972
338552	534259
338554	612328
338555	706612
338558	526973
338560	706613
338561	526974
338565	453037
338570	706614
338571	706615
338578	442369
338601	453038
338610	441473
338651	706616
338652	526975
338653	534260
338654	526976
338655	526977
338676	526978
338677	706617
338678	526979
338679	706618
338680	706619
338681	706620
338682	931356
338689	526980
338697	706621
338698	534261
338699	706622
338701	526981
338707	526982
338714	931357
338716	526983
338719	526984
338725	706623
338727	706624
338728	442875
338730	706625
338731	461342
338732	706626
338814	526985
338815	706627
338817	526986
338820	526987
338821	526988
338822	706628
338823	438224
338824	706629
338825	526989
338829	534262
338830	706630
338832	526990
338833	526991
338834	526992
338835	453039
338837	706631
338839	526993
338841	706632
338842	706633
338846	706634
338848	706635
338851	706636
338852	706637
338853	706638
338854	449798
338855	706639
338860	706640
338862	931358
338863	706641
338864	706642
338865	526994
338866	526995
338867	706643
338870	534263
338871	706644
338875	526996
338877	706645
338878	526997
338879	706646
338881	526998
338882	706647
338883	706648
338884	526999
338885	449799
338910	706649
338912	706650
338914	931359
338915	706651
338916	527000
338917	449800
338918	706652
338920	527001
338921	706653
338922	706654
338924	706655
338926	527002
338927	706656
338931	534264
338941	534265
338942	527003
